N°	Année 	Intitulé du projet	Date de démarrage/mise en vigueur	Date de clôture (Date limite de décaissement)	Structure de tutelle/Ministère	Partenaire/Bailleur	Type de bailleur (Multilatéral, Bilatéral, ...)	Prêt	Don	Total	Secteur Principal
1	2022	Projet de Soutien à l'Enseignement Secondaire au Bénin (SEnS)			MESFP	AFD	Bilatéral	4 484 061 407	0	4 484 061 407	EDUCATION
2	2022	Projet d'Assainissement pluvial de la ville de Cotonou (PAPC)			MCVT	AFD	Bilatéral	7 338 768 273	0	7 338 768 273	CADRE DE VIE
3	2022	Projet de Développement de l'enseignement technique, de la Formation et de l'Insertion Professionnelle (DEFIPRO)			MESFP	AFD	Bilatéral	375 705 004	346 657 204	722 362 207	EDUCATION
4	2022	Projet d'extention et de densification électrique des réseaux de la SBEE			MEEM	AFD	Bilatéral	132 582 029	655 957 000	788 539 029	ELECTRICITE
5	2022	Projet de Renforcement des réseaux de la SBEE et d'Electrification du département de l'Atlantique (PRERA)			MEEM	AFD	Bilatéral	3 048 325 411	193 700 140	3 242 025 551	ELECTRICITE
6	2022	Projet d'Appui  au Développement Agricole du Département des Collines			MAEP	AFD	Bilatéral	3 564 653 330	0	3 564 653 330	AGRICULTURE
7	2022	Projet de création du musée de l'epopée des amazones et des rois du Danhome, et de valorisation du site palatial			MTCA	AFD	Bilatéral	1 967 871 000	0	1 967 871 000	CULTURE
8	2022	Projet d'Extension du Réseau de Distribution de la SBEE et de la centrale Solaire DEFISSOL (FORSUN)			MEEM	AFD	Bilatéral	1 967 871 000	0	1 967 871 000	ELECTRICITE
9	2022	Programme d'Adaptation des Villes aux Changements Climatiques (PAVICC)			MCVT	AFD	Bilatéral	8 260 553 565	27 216 494	8 287 770 059	CLIMAT
10	2022	Projet de construction d'une centrale solaire photovoltaÏque d'une puissance de 25MWc et la modernisation de son système d'information			MEEM	AFD	Bilatéral	7 123 896 883	832 303 538	7 956 200 421	ELECTRICITE
11	2022	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)			MEEM	AFD	Bilatéral	1 966 529 305	0	1 966 529 305	ELECTRICITE
12	2022	Programme d'appui à la Formation Agricole et Rurale (ProFAR)			MAEP	AFD	Bilatéral	1 967 871 000	0	1 967 871 000	AGRICULTURE
13	2022	Projet d'appui au renforcement des acteurs du secteur privé			MEF	AFD	Bilatéral		0	0	DEVELOPPEMENT
14	2022	Projet d'Appui au Développement des Filières Protéiniques (PADéFIP)			MAEP	AFD	Bilatéral		254 279 311	254 279 311	AGRICULTURE
15	2022	Projet de Transition Agroécologique des zones cotonières (TAZCO II)			MAEP	AFD	Bilatéral		2 092 437 079	2 092 437 079	AGRICULTURE
16	2022	Fonds d'Etude et de Renforcement des Capacités (FERC)			MESFP	AFD	Bilatéral		27 189 588	27 189 588	EDUCATION
17	2022	Projet d'Implantation et pavage de l'autoroute liant Kétou-Omou-Ayékotonian-Savè et la bretelle d'accès Omou-Idigny-Ayékotonian			MCVT	BRESIL	Bilatéral	17 491 611 624	0	17 491 611 624	TRANSPORT
18	2022	Projet d'Approvisionnement en Eau Potable (AEP)  dans trois villes: Zangnanado, Covè et Boukoumbé			MEEM	FKOW	Bilatéral	20 095 286	0	20 095 286	EAU
19	2022	Projet de construction et équipement Hôpital de Zone de Tchaourou et six centres de santé			MS	FKOW	Bilatéral	1 223 949 379	0	1 223 949 379	SANTE
20	2022	Projet de fonds d'investissement - l'Agriculture			MAEP	FKOW	Bilatéral		0	0	AGRICULTURE
21	2022	Programme d'Appui à la Décentralisation			MEF	FKOW	Bilatéral		0	0	GOUVERNANCE LOCALE
22	2022	Projet AEP Grand Cotonou			MEEM	FKOW	Bilatéral		0	0	EAU
23	2022	Projet de construction et équipement de l'Hôpital de Savè			MS	FSD 	Bilatéral	1 416 901 200	0	1 416 901 200	SANTE
24	2022	Projet de construction et équipement des centres universitaires			MS	FSD 	Bilatéral	277 212 804	0	277 212 804	SANTE
25	2022	Programme OMIDELTA			MEEM	ROYAUME DES PAYS BAS	Bilatéral		0	0	EAU
26	2022	Projet d'Appui et à la compétitivité des filières et à la diversification des exportations			MAEP	AID	Multilatéral	10 064 801 841	0	10 064 801 841	ELEVAGE
27	2022	Projet Intégré de Transformation Numérique des zones rurales du Bénin (PITNZR)			MENC	AID	Multilatéral	1 872 166 860	0	1 872 166 860	NUMERIQUE
28	2022	Projet de préparation et de riposte au COVID-19			MS	AID	Multilatéral	5 060 332 064	2 892 992 422	7 953 324 486	SANTE
29	2022	Projet de gestion des eaux pluviales et de résilience urbaine			MCVT	AID	Multilatéral	7 625 520 053	0	7 625 520 053	CADRE DE VIE
30	2022	Projet Africain des Centres d'Excellence d'Enseignement Supérieur pour l'Impact sur le Développement (ACE IMPACT)			MESFP	AID	Multilatéral	265 501 876	0	265 501 876	
31	2022	Projet de Cohésion Sociale des Régions du Nord du Golfe de Guinée			MEF	AID	Multilatéral	1 000 000 000	0	1 000 000 000	APPUI BUDGETAIRE
32	2022	Projet d'inclusion des jeunes au Bénin			MEF	AID	Multilatéral	0	5 791 000 000	5 791 000 000	ENTREPRENEURIAT
33	2022	Projet d'interconnexion électrique régionale North Core/Dorsale Nord			MEEM	AID	Multilatéral	80 469 217	2 328 587 450	2 409 056 666	ELECTRICITE
34	2022	Projet de Formation Professionnellle et d'entrepreneuriat pour l'Emploi (PFPEEB)			MESFP	AID	Multilatéral	0	6 268 298 807	6 268 298 807	ENTREPRENEURIAT
35	2022	Projet d'Approvisionnement en Eau Potable en Milieu Rural et d'Assainissement des Eaux Usées en Milieu Urbain (PEPRAU)			MEEM	AID	Multilatéral	8 180 348 054	0	8 180 348 054	ELECTRICITE
36	2022	Projet d'identification unique pour l'intégration et l'inclusion régionales en Afrique de l'Ouest 			MEF	AID	Multilatéral	0	2 238 112 923	2 238 112 923	APPUI BUDGETAIRE
37	2022	Projet d'Amélioration des Services Energétiques (PASE)			MEEM	AID	Multilatéral	4 846 992 123	0	4 846 992 123	ELECTRICITE
38	2022	Projet d'Appui à la Gestion des Investissements Publics et à la Gouvernance			MEF	AID	Multilatéral	283 480 069	0	283 480 069	DEVELOPPEMENT
39	2022	Programme DPF Libérer et productif au Bénin phase 2			MEF	AID	Multilatéral	96 097 700 500	0	96 097 700 500	APPUI BUDGETAIRE
40	2022	Projet d'investissement dans la résilience des zones côtières de l'Afrique de l'Ouest (Waca-ResIP)			MCVT	AID	Multilatéral	6 018 621 954	3 828 668 317	9 847 290 271	CADRE DE VIE
41	2022	Projet de Compétitivité de Tourisme Transfrontalier (PCTT)			MTCA	AID	Multilatéral	8 120 729 234	2 545 406 033	10 666 135 267	TOURISME
42	2022	Programme d'amélioration du système de santé			MS	AID	Multilatéral	13 693 102 375	0	13 693 102 375	SANTE
43	2022	Fonds d'Etude et de Renforcement des Capacités (FERC)			MESFP	AID	Multilatéral		0	0	EDUCATION
44	2022	Projet de services sociaux de base pour les collectivités et les collectivités locales			MEF	AID	Multilatéral		0	0	GOUVERNANCE LOCALE
45	2022	Projet du PME sur la riposte à l'éducation COVID-19			MESFP	AID	Multilatéral		0	0	EDUCATION
46	2022	Projet du GPE en réponse à la COVID-19 dans le domaine de l'éducation au Bénin			MS	AID	Multilatéral		0	0	SANTE
47	2022	Projet de préparation et d'intervention contre le  au Bénin			MS	AID	Multilatéral		0	0	SANTE
48	2022	Projet de Parteneuriat mondial pour l'éducation au Bénin			MESFP	AID	Multilatéral		3 342 722 790	3 342 722 790	EDUCATION
49	2022	Projet d'approvisionnement en eau des petites villes et de gestion des eaux usées urbaines			MEEM	AID	Multilatéral		0	0	ELECTRICITE
50	2022	Projet de Nutrition et de Développement de la Petite Enfance (PNDPE)			MS	AID	Multilatéral		2 513 487 926	2 513 487 926	SANTE
51	2022	Projet d'autonomisation des femmes et de démographie du Sahel			MEF	AID	Multilatéral		11 187 808 333	11 187 808 333	GOUVERNANCE LOCALE
52	2022	Projet d'Appui à la Gestion des Forêts Communales (PAGEFCOM)			MAEP	AID	Multilatéral		4 571 217 242	4 571 217 242	FÔRET
53	2022	Projet d'Aménagement de la route Cotonnière Djougou-Pehunco-Kérou-Banikoara			MCVT	BAD	Multilatéral	9 418 360 602	0	9 418 360 602	TRANSPORT
54	2022	Projet d'Appui au Programme d'Assainissement Pluvial (PAPC) de la ville de Cotonou			MCVT	BAD	Multilatéral	2 220 516 018	0	2 220 516 018	CADRE DE VIE
55	2022	Projet d'Electrification Rurale (PERU)			MEEM	BAD	Multilatéral	4 059 604 224	0	4 059 604 224	ELECTRICITE
56	2022	Projet de développement de l'autoroute du corridor Abidjan-Lagos			MCVT	BAD	Multilatéral	172 609 081	0	172 609 081	TRANSPORT
57	2022	Projet d'Appui à la Gestion des Forêts Communales (PAGEFCOM)			MAEP	BAD	Multilatéral	474 412 111	86 204 937	560 617 048	FÔRET
58	2022	Projet d'Appui aux Infrastructures Agricoles dans la Vallée de l'Ouémé (PAIA-VO)			MAEP	BAD	Multilatéral	1 760 888 395	1 400 789 294	3 161 677 689	AGRICULTURE
59	2022	Projet de transport urbain à Parakou			MCVT	BAD	Multilatéral	339 869 065	0	339 869 065	TRANSPORT
60	2022	Projet de Restructuration et d'Extension du Système de Répartition et de Distribution de la SBEE (PRESREDI)			MEEM	BAD	Multilatéral	480 620 442	137 733 813	618 354 255	ELECTRICITE
